REL_R,RF_R,INPC_R,PFC_R,WCC_R
0.94,0.044444,131.078081,0.084249,0.039426
0.97,0.444444,63.202165,0.098915,0.206673
0.965,0.2,188.965842,0.113546,0.135184
0.975,0.355556,71.61196,0.1,0.165454
0.975,0.488889,277.995922,0.089847,0.199345
0.96,0.622222,0.0,0.074552,0.236655
0.97,0.311111,78.178776,0.118453,0.472035
0.98,0.444444,194.262753,0.091612,0.163213
0.97,0.422222,64.426859,0.061049,0.217386
0.955,0.044444,156.958832,0.082438,0.047493
0.98,0.444444,132.791836,0.13248,0.166551
0.965,0.155556,187.270157,0.089678,0.094415
0.96,0.088889,168.710131,0.131068,0.063314
0.96,0.066667,240.836257,0.103009,0.068294
0.975,0.377778,184.168921,0.096564,0.141995
0.96,0.088889,233.651191,0.127092,0.052008
0.92,0.088889,0.0,0.039381,0.115262
0.965,0.044444,209.392317,0.15272,0.018771
0.97,0.422222,84.028082,0.149392,0.157823
0.97,0.155556,266.226424,0.243234,0.192957
0.97,0.222222,177.258264,0.183883,0.192755
0.965,0.266667,67.148508,0.303043,0.710081
0.97,0.266667,193.078439,0.099228,0.172802
0.965,0.044444,218.482929,0.126941,0.122533
0.97,0.311111,63.800735,0.29012,0.78022
0.965,0.311111,106.291103,0.064043,0.391263
0.97,0.333333,63.202165,0.277367,0.768374
0.97,0.288889,196.247283,0.1035,0.133263
0.95,0.0,241.687108,0.105581,0.033082
0.97,0.266667,200.521548,0.131497,0.166839
0.975,0.4,223.73147,0.177307,0.138412
0.98,0.6,122.408117,0.145102,0.187638
0.965,0.622222,0.0,0.011615,0.461171
0.98,0.6,244.428237,0.067196,0.436763
0.915,0.111111,0.0,0.019925,0.290043
0.915,0.044444,0.0,0.080877,0.077397
0.975,0.6,71.61196,0.048538,0.464157
0.905,0.0,0.0,0.078296,0.072141
0.97,0.422222,194.896161,0.108177,0.153935
0.9,0.0,0.0,0.045843,0.101934
0.95,0.111111,0.0,0.074485,0.104317
0.965,0.044444,235.333258,0.161555,0.133424
0.92,0.0,0.0,0.06989,0.09891
0.98,0.6,240.416071,0.128442,0.347416
0.975,0.377778,193.523519,0.084757,0.24453
0.97,0.622222,71.131808,0.067565,0.376531
0.97,0.422222,143.241418,0.119493,0.182085
0.91,0.088889,0.0,0.002634,0.537561
0.965,0.266667,111.318916,0.122766,0.121065
0.97,0.422222,100.56113,0.066003,0.2965
0.97,0.333333,65.596739,0.117389,0.155458
0.97,0.288889,160.036552,0.076367,0.21729
0.98,0.533333,117.535499,0.111142,0.180054
0.97,0.622222,78.05509,0.067565,0.332397
0.965,0.177778,63.202165,0.261027,0.225844
0.96,0.155556,84.028082,0.237623,0.167667
0.96,0.2,67.15073,0.092567,0.121382
0.975,0.422222,124.861294,0.093289,0.179996
0.9,0.066667,0.0,0.04422,0.085223
0.955,0.222222,43.377064,0.067001,0.185831
0.945,0.022222,146.21977,0.092692,0.03032
0.955,0.088889,0.0,0.068698,0.157998
0.915,0.0,0.0,0.077521,0.084304
0.925,0.133333,0.0,0.02106,0.320992
0.95,0.2,0.0,0.0,0.504759
0.97,0.466667,114.582269,0.132546,0.168151
0.95,0.022222,151.59924,0.085858,0.129642
0.97,0.422222,154.960914,0.1,0.202279
0.975,0.4,177.699881,0.164537,0.138412
0.97,0.288889,187.044012,0.120559,0.143808
0.98,0.466667,116.016992,0.080945,0.32912
0.95,0.022222,156.958832,0.090108,0.129582
0.975,0.422222,100.56113,0.065384,0.306356
0.97,0.377778,71.61196,0.061692,0.490034
0.945,0.0,135.605695,0.081065,0.746594
0.96,0.222222,147.499446,0.064853,0.164163
0.945,0.022222,153.438995,0.074315,0.113112
0.97,0.266667,184.951519,0.11834,0.122017
0.97,0.488889,107.054333,0.049027,0.457019
0.975,0.444444,292.236034,0.089676,0.165475
0.925,0.066667,17.009508,0.07886,0.078285
0.96,0.155556,148.753015,0.074521,0.162999
0.975,0.444444,115.453142,0.079818,0.467304
0.975,0.422222,65.596739,0.125793,0.169771
0.97,0.422222,71.61196,0.116414,0.185369
0.97,0.288889,187.270157,0.094088,0.198132
0.98,0.444444,290.331191,0.095387,0.188268
0.92,0.088889,0.0,0.032166,0.126013
0.95,0.0,247.814618,0.100437,0.01269
0.98,0.533333,200.532832,0.083603,0.268019
0.955,0.088889,96.746296,0.059668,0.231033
0.975,0.4,279.828047,0.123359,0.159572
0.945,0.0,160.380126,0.098478,0.118243
0.975,0.266667,187.044012,0.269976,0.493749
0.94,0.022222,157.867385,0.058173,0.671071
0.965,0.222222,45.12337,0.248185,0.462692
0.97,0.266667,197.363989,0.170182,0.111226
0.97,0.333333,208.335701,0.152629,0.115766
0.97,0.422222,122.408117,0.092036,0.189057
0.975,0.488889,187.270157,0.114278,0.126051
0.97,0.377778,184.593093,0.12813,0.127526
0.97,0.333333,123.806522,0.140099,0.1411
0.975,0.6,110.45812,0.051083,0.425766
0.97,0.311111,141.016822,0.120156,0.154757
0.98,0.577778,116.016992,0.057833,0.32912
0.9,0.066667,0.0,0.006031,0.610968
0.965,0.444444,25.536379,0.100018,0.171657
0.97,0.466667,67.15073,0.089719,0.335123
0.95,0.044444,157.638558,0.091565,0.110996
0.96,0.111111,135.396275,0.243268,0.219475
0.97,0.311111,123.820421,0.085973,0.478505
0.975,0.222222,279.828047,0.111552,0.129656
0.945,0.0,138.186183,0.094627,0.02138
0.945,0.0,135.605695,0.100832,0.030317
0.945,0.0,135.605695,0.1096,0.016949
0.96,0.2,89.580657,0.099922,0.118528
0.97,0.466667,67.148508,0.088511,0.363794
0.95,0.022222,208.335701,0.065176,0.300484
0.925,0.0,126.664766,0.07921,0.029263
0.955,0.222222,45.12337,0.061902,0.445732
0.95,0.222222,0.0,0.00124,0.483066
0.97,0.288889,194.262753,0.094088,0.195442
0.95,0.0,160.380126,0.111793,0.025604
0.9,0.066667,0.0,0.019983,0.355131
0.92,0.088889,0.0,0.023441,0.447817
0.95,0.333333,0.0,0.000833,0.45131
0.96,0.0,222.229098,0.144406,0.154222
