REL_R,RF_R,INPC_R,PFC_R,WCC_R
0.987778,0.001556,57.45717,0.025494,0.011611
0.989,0.012556,65.239691,0.081913,0.006864
0.985556,0.052111,5.135286,0.030227,0.00945
0.985444,0.004222,22.085918,0.039558,0.007323
0.980111,0.011889,0.0,0.0573,0.002793
0.993556,0.049889,65.041799,0.0669,0.007705
0.996667,0.151333,55.991289,0.096209,0.019332
0.989778,0.009778,46.527189,0.085209,0.000995
0.983,0.107222,2.194932,0.0196,0.039502
0.994333,0.048,87.209649,0.0821,0.021106
0.988222,0.013444,49.566307,0.064783,0.006476
0.992667,0.185222,18.042189,0.0604,0.049844
0.988667,0.005333,61.216423,0.147229,0.015199
0.980667,0.092333,0.0,0.0198,0.046619
0.982667,0.006333,18.24003,0.03684,0.003047
0.985333,0.001889,17.972444,0.0782,0.001955
0.993,0.082333,61.356259,0.06826,0.010511
0.995778,0.139444,61.216423,0.146921,0.021814
0.993222,0.149556,14.189358,0.024893,0.075544
0.987111,0.006222,49.566307,0.066997,0.001007
0.993111,0.089222,61.356259,0.069113,0.012827
0.992333,0.042778,52.564226,0.037814,0.031625
0.993,0.065889,83.086576,0.0978,0.007308
0.992,0.036,85.462473,0.10135,0.010748
0.982222,0.007667,24.29443,0.01941,0.023825
0.994333,0.204222,8.965637,0.0966,0.022241
0.989111,0.002778,80.234672,0.08101,0.008651
0.979,0.050111,0.0,0.00586,0.044095
0.989778,0.0,65.041799,0.098218,0.003018
0.988667,0.027889,46.721881,0.066746,0.002362
0.993778,0.185444,6.593448,0.0884,0.081036
0.995444,0.218556,46.520388,0.092,0.031104
0.993222,0.087222,65.041799,0.05379,0.021948
0.987667,0.000667,46.520388,0.099327,0.000978
0.993556,0.043222,102.477803,0.0821,0.023522
0.993778,0.043333,100.440699,0.0821,0.023463
0.977444,0.000889,3.273975,0.054993,0.001978
0.978,0.033,0.0,0.0278,0.008948
0.986444,0.027778,8.209462,0.0479,0.008112
0.993667,0.120111,52.945981,0.052843,0.040525
0.996333,0.179444,45.081453,0.051251,0.068144
0.992667,0.033111,85.258137,0.187064,0.069473
0.978667,0.001667,4.434625,0.090905,0.001826
0.987111,0.034444,16.734528,0.021571,0.034496
0.992444,0.035111,88.838589,0.155849,0.049353
0.981444,0.116889,0.0,0.0198,0.052185
0.991,0.013556,86.637421,0.053549,0.019986
0.996556,0.087556,65.041799,0.106339,0.020493
0.990444,0.014333,61.356259,0.081713,0.008009
0.994556,0.230444,9.205222,0.100435,0.018837
0.993,0.214667,25.52438,0.0239,0.091656
0.994444,0.184667,13.478123,0.091516,0.037731
0.995444,0.122667,49.559506,0.099091,0.014777
0.994222,0.149556,13.994995,0.034,0.061086
0.990222,0.013222,84.665904,0.08656,0.001013
0.994667,0.074222,46.527189,0.169435,0.106092
0.993222,0.122778,46.520388,0.0793,0.022873
0.986444,0.019667,8.209462,0.090178,0.002289
0.976778,0.032889,0.0,0.0199,0.019385
0.989778,0.065444,4.762685,0.039392,0.015227
0.996444,0.151111,55.950588,0.11606,0.018862
0.995111,0.206556,43.860487,0.07716,0.069157
0.977,0.015,14.894101,0.0354,0.002363
0.995222,0.137444,49.317006,0.0443,0.060417
0.973556,0.008,0.0,0.004963,0.037142
0.977778,0.024778,25.262311,0.0999,0.001058
0.996556,0.127222,87.5458,0.0886,0.01445
0.982111,0.000667,29.550828,0.1,0.001019
0.984667,0.020111,3.503513,0.061338,0.004268
0.981222,0.015,0.0,0.0776,0.002073
0.993222,0.014,71.404212,0.136809,0.00041
0.993667,0.218556,14.894101,0.010733,0.099595
0.988556,0.022,41.200905,0.025013,0.024962
0.973667,0.002222,2.061389,0.0957,0.001505
0.994556,0.125778,49.471758,0.0539,0.049361
0.982333,0.011889,0.366876,0.0964,0.001949
0.989778,0.080111,4.434625,0.047291,0.017957
0.977889,0.022444,25.626147,0.100067,0.001024
0.995333,0.080333,89.080701,0.073273,0.010664
0.984667,0.007222,16.885107,0.068,0.001763
0.993778,0.045333,81.589604,0.101123,0.010033
0.974111,0.032778,0.0,0.0199,0.036669
0.986222,0.009,20.79529,0.080901,0.004096
0.975333,0.007333,25.515262,0.0321,0.03233
0.987111,0.003889,20.324319,0.048358,0.001686
0.996556,0.170889,48.980504,0.056766,0.061226
0.991333,0.020222,54.57022,0.057377,0.002355
0.993778,0.014889,67.278345,0.076804,0.001542
0.991222,0.043667,55.950588,0.040917,0.023554
0.993333,0.163667,40.194503,0.0453,0.077542
0.994111,0.185222,0.0,0.0882,0.063609
0.987,0.066667,4.434625,0.0194,0.024311
0.996333,0.217556,55.42611,0.0969,0.026282
0.993556,0.102889,48.371699,0.0671,0.023653
0.976556,0.001222,15.102532,0.106923,0.001553
0.987889,0.001667,49.566307,0.052959,0.000894
0.988333,0.001556,49.566307,0.056263,0.000868
0.978556,0.025111,0.0,0.0685,0.002327
0.993,0.014556,69.0133,0.048356,0.004899
0.993,0.150778,48.936785,0.0591,0.049184
0.993,0.120778,18.626566,0.112806,0.016543
0.990444,0.021667,65.181635,0.073936,0.002465
0.986111,0.002,43.860487,0.098953,0.000895
0.996778,0.180444,49.559506,0.0795,0.055925
0.996,0.206444,43.860487,0.058149,0.069015
0.989333,0.137,1.51067,0.000704,0.076197
0.996444,0.212667,84.204934,0.097089,0.017857
0.989889,0.003,65.181635,0.05807,0.003527
0.989444,0.03,65.041799,0.050371,0.006436
0.996667,0.142556,80.11375,0.0747,0.02452
0.987556,0.036333,4.762685,0.070432,0.002915
0.980667,0.000556,30.505761,0.1,0.001097
0.988556,0.049667,18.989231,0.0547,0.019171
0.98,0.016889,32.871031,0.0402,0.002864
0.989778,0.056667,52.069773,0.049244,0.007736
0.994,0.079667,85.468007,0.0946,0.00926
0.985222,0.002,16.602076,0.044609,0.005789
0.993778,0.110222,44.312021,0.0858,0.035105
0.987778,0.015111,46.527189,0.076985,0.001049
0.988,0.023333,30.890748,0.034579,0.013022
0.986778,0.000889,53.229022,0.0984,0.002742
0.996111,0.152556,61.216423,0.099599,0.018122
0.993778,0.215,4.762685,0.0994,0.032198
0.994222,0.218556,0.0,0.0103,0.10219
0.997111,0.138444,61.356259,0.07492,0.038363
0.982778,0.082111,0.0,0.0194,0.037521
0.996222,0.124889,81.586943,0.0886,0.036909
0.992667,0.036667,53.1215,0.035584,0.033385
0.995778,0.140556,82.815506,0.098813,0.01551
0.996333,0.152333,61.216423,0.0987,0.020121
0.989667,0.024667,65.181635,0.078617,0.001703
0.996778,0.214222,49.566307,0.0787,0.058249
0.996889,0.139333,65.041799,0.071149,0.029936
0.981,0.038333,1.41536,0.0386,0.0046
0.982778,0.090667,0.0,0.0199,0.041841
0.993111,0.150778,17.125717,0.0557,0.059376
0.99,0.053,45.244944,0.0859,0.00656
0.973889,0.001556,0.0,0.1,0.001495
0.994111,0.135,45.582974,0.034484,0.055284
0.977444,0.000667,26.264584,0.100147,0.001011
0.994778,0.045889,76.187523,0.099141,0.014768
0.995111,0.090667,84.873189,0.05503,0.016689
0.992778,0.063556,92.381658,0.075422,0.018362
0.992778,0.085333,79.652413,0.127424,0.007689
0.993444,0.086778,65.181635,0.124947,0.008577
0.993889,0.108667,45.881457,0.0858,0.016025
0.990111,0.014111,88.320262,0.109732,0.000759
0.985222,0.016667,16.040087,0.10356,0.001216
0.992889,0.125556,61.356259,0.098361,0.012929
0.996,0.168444,63.233671,0.07492,0.046344
0.993111,0.137556,17.228528,0.0963,0.014183
0.995667,0.189111,46.520388,0.070254,0.060638
