Watertown,Dryville,Fallsland,Regional
0.675,0.935,0.685,0.645
0.715,0.875,0.635,0.61
0.645,0.47,0.6,0.47
0.715,0.76,0.605,0.6
0.785,0.95,0.755,0.75
0.68,0.47,0.6,0.47
0.685,0.565,0.6,0.565
0.645,0.47,0.6,0.47
0.825,0.74,0.605,0.605
0.815,0.905,0.685,0.685
0.705,0.75,0.6,0.6
0.705,0.475,0.525,0.46
0.54,0.37,0.37,0.365
0.525,0.645,0.58,0.52
0.54,0.37,0.37,0.365
0.64,0.755,0.66,0.625
0.64,0.735,0.67,0.63
0.555,0.6,0.37,0.37
0.64,0.7,0.66,0.625
0.66,0.68,0.52,0.52
0.625,0.7,0.66,0.62
0.69,0.76,0.69,0.655
0.775,0.905,0.755,0.75
0.68,0.745,0.66,0.635
0.54,0.37,0.37,0.365
0.735,0.6,0.545,0.545
0.525,0.595,0.37,0.37
0.835,0.535,0.53,0.53
0.66,0.725,0.71,0.64
0.75,0.645,0.64,0.625
0.64,0.6,0.53,0.53
0.66,0.6,0.595,0.595
0.755,0.76,0.6,0.6
0.745,0.37,0.37,0.365
0.525,0.595,0.37,0.37
0.805,0.625,0.66,0.625
0.8,0.7,0.67,0.67
0.755,0.705,0.645,0.63
0.63,0.685,0.53,0.53
0.64,0.7,0.66,0.625
0.685,0.685,0.635,0.625
0.72,0.915,0.705,0.675
0.685,0.825,0.71,0.655
0.64,0.715,0.66,0.625
0.615,0.76,0.66,0.615
0.69,0.715,0.705,0.66
0.66,0.5,0.565,0.5
0.72,0.91,0.725,0.695
0.7,0.545,0.6,0.545
0.7,0.475,0.525,0.455
0.825,0.81,0.6,0.6
0.635,0.37,0.495,0.37
0.685,0.92,0.73,0.665
0.685,0.6,0.53,0.53
0.625,0.565,0.545,0.545
0.75,0.9,0.7,0.685
0.66,0.94,0.65,0.62
0.73,0.905,0.695,0.665
0.715,0.785,0.61,0.6
0.645,0.535,0.42,0.42
0.705,0.815,0.49,0.49
0.645,0.745,0.67,0.63
0.725,0.945,0.68,0.66
0.66,0.6,0.495,0.495
0.61,0.535,0.53,0.53
0.66,0.6,0.53,0.53
0.805,0.78,0.605,0.605
0.625,0.68,0.49,0.49
0.705,0.75,0.685,0.655
0.815,0.935,0.71,0.71
0.66,0.7,0.37,0.37
0.695,0.935,0.72,0.67
0.64,0.68,0.53,0.53
0.78,0.905,0.685,0.68
0.7,0.73,0.61,0.6
0.695,0.855,0.7,0.65
0.665,0.565,0.63,0.565
0.835,0.705,0.6,0.6
0.82,0.7,0.57,0.57
0.705,0.6,0.53,0.53
0.835,0.815,0.42,0.42
